data_type,NOx_g_total,PM2.5_g_total
ground_truth,85.44575253399876,3.3718829023910803
sg,72.7470222411657,2.961130050674444
sumo,95.21982120005482,3.8711614321088716
trim,75.51857180461015,3.012126230827778
