data_type,NOx_g_total,PM2.5_g_total,total_distance_km,n_vehicles,NOx_g_per_km,PM2.5_g_per_km
ground_truth,85.44575253399876,3.3718829023910803,591.1974086539926,3659,0.14452998488024021,0.005703480517730968
sg,72.7470222411657,2.961130050674444,503.8917586760223,2496,0.1443703354710718,0.005876520105140885
sumo,95.21982120005482,3.8711614321088716,501.92247,2494,0.18971021799453375,0.007712668118063875
trim,75.51857180461015,3.012126230827778,504.55800296299304,2497,0.1496727261506723,0.005969831442845439
