axis,axis_bin,data_type,gt_type,pollutant,value,gt_value,error_pct,bin_start_m,bin_center_m,bin_end_m
x,0.0,sg,ground_truth,NOx,3.949670492881805,6.031937735562532,-34.52070187005233,29.0,39.0,49.0
x,1.0,sg,ground_truth,NOx,4.6156651747163435,7.112744255843007,-35.10711184470541,49.0,59.0,69.0
x,2.0,sg,ground_truth,NOx,9.157909031872236,6.650466379254465,37.703260337342876,69.0,79.0,89.0
x,3.0,sg,ground_truth,NOx,5.85470573457143,6.363051664375687,-7.989027224944487,89.0,99.0,109.0
x,4.0,sg,ground_truth,NOx,4.724336458391175,5.570809447913483,-15.1947934575172,109.0,119.0,129.0
x,5.0,sg,ground_truth,NOx,3.518778084078405,5.208764122561938,-32.44504835923173,129.0,139.0,149.0
x,6.0,sg,ground_truth,NOx,2.925029015772394,3.9767399798741403,-26.446560987752385,149.0,159.0,169.0
x,7.0,sg,ground_truth,NOx,2.1661497736068553,2.902555515926924,-25.370944268912606,169.0,179.0,189.0
x,8.0,sg,ground_truth,NOx,1.8555821904033682,2.7011211469171554,-31.30325929582307,189.0,199.0,209.0
x,9.0,sg,ground_truth,NOx,2.1759589474899967,3.8511215019675373,-43.49804475453969,209.0,219.0,229.0
x,10.0,sg,ground_truth,NOx,2.5441258448804582,3.2223064614359385,-21.046434430487608,229.0,239.0,249.0
x,11.0,sg,ground_truth,NOx,2.5629690877829687,2.5440705706407782,0.7428456333045231,249.0,259.0,269.0
x,12.0,sg,ground_truth,NOx,3.252353641097581,3.0695971771612305,5.953760490012051,269.0,279.0,289.0
x,13.0,sg,ground_truth,NOx,3.4773926331255587,3.235808198878527,7.465968914064823,289.0,299.0,309.0
x,14.0,sg,ground_truth,NOx,3.9230169980811653,4.1194060851808025,-4.7674126570364,309.0,319.0,329.0
x,15.0,sg,ground_truth,NOx,3.5282091264302546,5.274059560098003,-33.10259229676403,329.0,339.0,349.0
x,16.0,sg,ground_truth,NOx,6.828365101025768,6.1603612377920856,10.843582664205897,349.0,359.0,369.0
x,17.0,sg,ground_truth,NOx,4.713020671624636,5.795925759883672,-18.68390198774338,369.0,379.0,389.0
x,0.0,sg,ground_truth,PM2.5,0.15034793013278686,0.2510649501739929,-40.115922183246674,29.0,39.0,49.0
x,1.0,sg,ground_truth,PM2.5,0.21420896964854225,0.21931729618132154,-2.329194560449057,49.0,59.0,69.0
x,2.0,sg,ground_truth,PM2.5,0.4464897047356973,0.21214964037693204,110.45979806631155,69.0,79.0,89.0
x,3.0,sg,ground_truth,PM2.5,0.26237774173012124,0.2542100491744371,3.212969975895603,89.0,99.0,109.0
x,4.0,sg,ground_truth,PM2.5,0.187757796814284,0.24816988685997324,-24.34303807366282,109.0,119.0,129.0
x,5.0,sg,ground_truth,PM2.5,0.12613435641572493,0.2141530010080387,-41.10082239240243,129.0,139.0,149.0
x,6.0,sg,ground_truth,PM2.5,0.09558128978766398,0.1597440064497043,-40.165961833592846,149.0,159.0,169.0
x,7.0,sg,ground_truth,PM2.5,0.0790381965018889,0.1224357781172015,-35.445179736408676,169.0,179.0,189.0
x,8.0,sg,ground_truth,PM2.5,0.07117104109842255,0.11587669149353588,-38.580364885208354,189.0,199.0,209.0
x,9.0,sg,ground_truth,PM2.5,0.07536179641307579,0.19136542162231296,-60.618906083350275,209.0,219.0,229.0
x,10.0,sg,ground_truth,PM2.5,0.08317218243405666,0.16273517026685372,-48.891083410137696,229.0,239.0,249.0
x,11.0,sg,ground_truth,PM2.5,0.08329993470120294,0.10504794737974844,-20.702939201588034,249.0,259.0,269.0
x,12.0,sg,ground_truth,PM2.5,0.10070166232662701,0.11840419874373045,-14.950936372972835,269.0,279.0,289.0
x,13.0,sg,ground_truth,PM2.5,0.11664099650865146,0.13456194828979728,-13.317993689085592,289.0,299.0,309.0
x,14.0,sg,ground_truth,PM2.5,0.14147198201734712,0.1694767090984222,-16.52423346550325,309.0,319.0,329.0
x,15.0,sg,ground_truth,PM2.5,0.15551464327293318,0.2133309655368978,-27.101701864263433,329.0,339.0,349.0
x,16.0,sg,ground_truth,PM2.5,0.3394851374060634,0.23331783228845823,45.50329654458094,349.0,359.0,369.0
x,17.0,sg,ground_truth,PM2.5,0.2167381644849101,0.1836769993383014,17.99962176304706,369.0,379.0,389.0
x,0.0,sumo,ground_truth,NOx,4.250036783651573,6.031937735562532,-29.54110320810168,29.0,39.0,49.0
x,1.0,sumo,ground_truth,NOx,6.144186512608356,7.112744255843007,-13.617215921112253,49.0,59.0,69.0
x,2.0,sumo,ground_truth,NOx,11.243162790818348,6.650466379254465,69.05826072424617,69.0,79.0,89.0
x,3.0,sumo,ground_truth,NOx,7.436878529626449,6.363051664375687,16.875972754750848,89.0,99.0,109.0
x,4.0,sumo,ground_truth,NOx,5.190493504607352,5.570809447913483,-6.82694223993922,109.0,119.0,129.0
x,5.0,sumo,ground_truth,NOx,4.383399279371854,5.208764122561938,-15.845694367594566,129.0,139.0,149.0
x,6.0,sumo,ground_truth,NOx,4.054196469393836,3.9767399798741403,1.9477383462759628,149.0,159.0,169.0
x,7.0,sumo,ground_truth,NOx,2.8337491299039934,2.902555515926924,-2.3705450471274547,169.0,179.0,189.0
x,8.0,sumo,ground_truth,NOx,3.7422493271988344,2.7011211469171554,38.544297854612694,189.0,199.0,209.0
x,9.0,sumo,ground_truth,NOx,2.9178262594071422,3.8511215019675373,-24.234375417227803,209.0,219.0,229.0
x,10.0,sumo,ground_truth,NOx,5.146330681875202,3.2223064614359385,59.709535497808346,229.0,239.0,249.0
x,11.0,sumo,ground_truth,NOx,3.315556652780158,2.5440705706407782,30.32486956307444,249.0,259.0,269.0
x,12.0,sumo,ground_truth,NOx,3.1802295340790114,3.0695971771612305,3.6041327422673084,269.0,279.0,289.0
x,13.0,sumo,ground_truth,NOx,4.932333619635359,3.235808198878527,52.4297274895594,289.0,299.0,309.0
x,14.0,sumo,ground_truth,NOx,4.622611148549205,4.1194060851808025,12.215476041039944,309.0,319.0,329.0
x,15.0,sumo,ground_truth,NOx,6.010520443590663,5.274059560098003,13.963833269243086,329.0,339.0,349.0
x,16.0,sumo,ground_truth,NOx,9.45123278743932,6.1603612377920856,53.42010675378356,349.0,359.0,369.0
x,17.0,sumo,ground_truth,NOx,6.3405916239070415,5.795925759883672,9.397392005833789,369.0,379.0,389.0
x,0.0,sumo,ground_truth,PM2.5,0.16922614320750062,0.2510649501739929,-32.59666747978018,29.0,39.0,49.0
x,1.0,sumo,ground_truth,PM2.5,0.2403294212146881,0.21931729618132154,9.58069673446762,49.0,59.0,69.0
x,2.0,sumo,ground_truth,PM2.5,0.4051238704245031,0.21214964037693204,90.96137504862534,69.0,79.0,89.0
